,Area_sq.ft,Price,Price_per_sq.ft,Locality,Booking_start,Agent_Name,Direction,parking,Type_BHK,Type_Of_House
0,1800,64.0,3556,Srisailam Highway        ,3,venkat,east,UnKnown,Plot,Plot
1,1300,70.2,5400,Gayatri Nagar-Saroornagar        ,20,Arun,east,No,3BHK,Apartment
2,1108,43.67,3942,Ganesh Nagar Colony-Vanasthalipuram        ,20,Lorgannaresh,east,Yes,2BHK,Apartment
3,1742,127.0,7308,Sri Guru Raghavendra Colony        ,27,Deepika Rao,east,Yes,3BHK,Apartment
4,814,31.0,3808,Beeramguda        ,25,Bijoy Rao,east,Yes,2BHK,Apartment
5,972,59.67,6139,Adibatla        ,17,Kandarp Rao,north,Yes,2BHK,Apartment
6,1170,0.19,16,Kothur        ,17,Elite Properties,east,UnKnown,Plot,Plot
7,880,54.5,6193,Adibatla        ,17,Aqib Jain,east,No,2BHK,Apartment
8,1284,136.0,10625,Serilingampally        ,17,Ankush Iyer,north,Yes,3BHK,Apartment
9,1822,200.0,10977,Tellapur        ,17,Shivani Tripathi,north,No,3BHK,Apartment
10,1250,75.29,6023,Adibatla        ,17,Kori Verma,east,Yes,3BHK,Apartment
11,1615,85.59,5300,Meerpet        ,17,DIAL TO PROPERTY,west,Yes,3BHK,Apartment
12,1700,90.1,5300,Meerpet        ,17,DIAL TO PROPERTY,east,No,3BHK,Apartment
13,1700,90.1,5300,Meerpet        ,17,DIAL TO PROPERTY,east,Yes,3BHK,Apartment
14,1800,95.45,5303,Meerpet        ,17,DIAL TO PROPERTY,east,Yes,3BHK,Apartment
15,1800,95.45,5303,Meerpet        ,17,DIAL TO PROPERTY,east,No,3BHK,Apartment
16,1800,40.0,2222,Sangareddy        ,6,kalyan kumar,east,UnKnown,Plot,Plot
17,2250,60.0,2667,Shankarpalli        ,5,Yadavalligopi,east,UnKnown,Plot,Plot
18,1800,40.0,2222,Sangareddy        ,2,kalyan kumar,east,UnKnown,Plot,Plot
19,1585,140.0,8833,Bachupally        ,3,Asha,east,Yes,3BHK,Apartment
20,1615,85.59,5300,Meerpet        ,17,DIAL TO PROPERTY,east,No,3BHK,Apartment
21,1615,85.59,5300,Meerpet        ,17,DIAL TO PROPERTY,east,Yes,3BHK,Apartment
22,1225,64.92,5300,Meerpet        ,17,DIAL TO PROPERTY,north east,No,2BHK,Apartment
23,2560,675.0,26367,Whitefields        ,2,Ravi Popuri,east,No,4BHK,Villa
24,917,83.39,9095,Bahadurguda        ,17,Harish Reddy,east,Yes,2BHK,Apartment
25,1221,124.0,10194,Bahadurguda        ,17,Harish Reddy,east,Yes,3BHK,Apartment
26,1636,184.0,11249,Kondapur        ,2,Ravi Popuri(PRKS),south,Yes,3BHK,Apartment
27,952,78.54,8250,Nacharam        ,17,Harish Reddy,east,No,2BHK,Apartment
28,1000,77.5,7750,Nagole        ,17,Harish Reddy,east,No,2BHK,Apartment
29,1144,94.38,8250,Nacharam        ,17,Harish Reddy,east,No,3BHK,Apartment
30,1585,140.0,8833,Bachupally        ,3,Asha,north east,No,3BHK,Apartment
31,1278,98.53,7710,Sai Nagar-Nagole        ,11,Nagul,north,Yes,3BHK,Apartment
32,720,55.0,7639,Vittal Nagar        ,12,Triveni,south,Yes,2BHK,Apartment
33,1156,68.92,5963,Bachupally        ,17,Jyoti Reddy,east,Yes,2BHK,Apartment
34,1180,47.79,4050,Suraram Village        ,13,Bharat,east,No,2BHK,Apartment
35,952,78.54,8250,Nacharam        ,17,Harish Reddy,north east,Yes,2BHK,Apartment
36,1420,189.0,13375,Gachibowli        ,2,Sunil Kumar Singh,east,No,3BHK,Apartment
37,1647,45.0,2732,Mumbai Highway        ,2,Mazhar Ullah,east,UnKnown,Plot,Plot
38,1184,140.0,11824,Kukatpally        ,2,Sunil Kumar Singh,east,No,3BHK,Apartment
39,2400,64.0,2667,Shankarpalli        ,6,Yadavalligopi,east,UnKnown,Plot,Plot
40,1400,80.0,5714,Rampally        ,2,Sunil Kumar Singh,east,No,3BHK,Villa
41,1500,43.42,2895,Kongara Kalan        ,2,PV Srinvasulu,east,UnKnown,Plot,Plot
42,1800,52.0,2889,Kongara Kalan        ,2,PV Srinvasulu,east,UnKnown,Plot,Plot
43,1650,47.58,2884,Kongara Kalan        ,2,PV Srinvasulu,east,UnKnown,Plot,Plot
44,1500,40.0,2667,Tukkuguda        ,5,Yadavalligopi,east,UnKnown,Plot,Plot
45,1485,26.0,1751,Kadthal        ,5,Yadavalligopi,east,UnKnown,Plot,Plot
46,1584,41.0,2588,Tukkuguda        ,5,Yadavalligopi,east,UnKnown,Plot,Plot
47,1440,28.8,2000,Mangalpalle        ,2,Lakshmi Reddy,east,UnKnown,Plot,Plot
48,1668,245.00000000000003,14688,Gachibowli        ,2,Sunil Kumar Singh,north east,Yes,3BHK,Apartment
49,1760,180.0,10227,Kollur        ,3,YONAH PROPERTIES,east,Yes,3BHK,Apartment
50,1076,126.0,11710,Kokapet        ,3,YONAH PROPERTIES,east,Yes,2BHK,Apartment
51,920,82.0,8913,Chanda Nagar        ,4,Asha,east,Yes,2BHK,Apartment
52,3684,598.0,16249,Patighanpur        ,2,House2home Property Solutions,north,Yes,4BHK,Villa
53,1500,41.0,2733,Tukkuguda        ,2,Yadavalligopi,east,UnKnown,Plot,Plot
54,1800,66.0,3667,Kongara Kalan        ,2,PV Srinvasulu,north,UnKnown,Plot,Plot
55,1800,5.0,278,Sangareddy        ,2,kalyan kumar,north east,UnKnown,Plot,Plot
56,1500,41.0,2733,Tukkuguda        ,7,Yadavalligopi,north,UnKnown,Plot,Plot
57,1350,39.0,2889,Kongara Kalan        ,2,PV Srinvasulu,east,UnKnown,Plot,Plot
58,1350,35.0,2593,Yadagirigutta        ,17,sravana,north,UnKnown,Plot,Plot
59,1368,162.0,11875,Puppalaguda        ,3,YONAH PROPERTIES,east,Yes,3BHK,Apartment
60,1800,50.0,2778,Kandi        ,3,venkat,east,UnKnown,Plot,Plot
61,1640,125.0,7622,Bachupally        ,2,Sawan Saxena,north,No,3BHK,Apartment
62,2795,208.0,7469,Moosapet        ,10,Nadiya,north east,No,3BHK,Apartment
63,1440,95.58,6638,Surya Nagar-Mallapur        ,27,Vipul Nair,north east,Yes,3BHK,Apartment
64,1128,86.9,7704,Vanasthalipuram Phase II        ,2,Prakash Gowda,east,Yes,2BHK,Apartment
65,1368,162.0,11875,Puppalaguda        ,3,YONAH PROPERTIES,east,Yes,3BHK,Apartment
66,1500,26.0,1733,Shadnagar        ,2,Yadavalligopi,east,UnKnown,Plot,Plot
67,3204,71.0,2216,Bandlaguda - Nagole        ,3,vanivas1017,east,UnKnown,Plot,Plot
68,1800,34.0,1889,Bala Nagar        ,3,vanivas1017,east,UnKnown,Plot,Plot
69,1284,136.0,10625,Serilingampally        ,3,YONAH PROPERTIES,east,No,3BHK,Apartment
70,1156,79.0,6834,Pragathi Nagar        ,5,OWNER,east,Yes,2BHK,Apartment
71,1320,98.0,7424,Nizampet        ,5,OWNER,east,No,3BHK,Apartment
72,1412,87.0,6161,Bachupally        ,5,OWNER,east,No,3BHK,Apartment
73,1084,86.0,7934,Bachupally        ,5,OWNER,south,Yes,2BHK,Apartment
74,1614,103.0,6382,Bowrampet        ,5,OWNER,north east,Yes,3BHK,Apartment
75,3204,71.2,2222,Bacharam        ,3,vanivas1017,east,UnKnown,Plot,Plot
76,1680,350.0,20833,Kukatpally        ,19,Sivashanakar,east,Yes,3BHK,Villa
77,992,60.8,6129,Adibatla        ,17,Tahreem Desai,north,No,2BHK,Apartment
78,958,58.91,6149,Adibatla        ,17,Qarib Kumar,east,Yes,2BHK,Apartment
79,1123,115.0,10240,Serilingampally        ,17,Shreyas Rao,east,Yes,3BHK,Apartment
80,2399,350.0,14589,Financial District        ,17,Gunjan Iyer,east,Yes,4BHK,Apartment
81,1760,180.0,10227,Kollur        ,17,Nimisha Jain,east,No,3BHK,Apartment
82,2032,508.0,25000,Kokapet        ,17,Tarique Patel,north east,No,4BHK,Apartment
83,1000,115.0,11500,Manchirevula        ,17,Shalini Verma,north east,Yes,2BHK,Apartment
84,2828,318.0,11250,Kokapet        ,17,Pratibha Sharma,north,Yes,4BHK,Apartment
85,1120,126.0,11250,Kokapet        ,17,Krish Chaudhary,north,No,3BHK,Apartment
86,1614,103.0,6382,Bachupally        ,5,OWNER,east,Yes,3BHK,Apartment
87,2464,417.0,16961,Manchirevula        ,17,Aastha Agarwal,east,Yes,4BHK,Apartment
88,1016,100.0,9843,KPHB Phase 15        ,11,Yadavalligopi,east,Yes,2BHK,Apartment
